product_id, brand, desc, size, original_price, new_price, price_change
8411407,Balenciaga,Vintage  Track Jacket,m,$250,-,
7757267,Balenciaga, Campaign Hoodie,l,$560,-,
3991962,Balenciaga, Yellow Leather Bracelet,os,$175,$72,58.86%
4020896,Balenciaga, Grey Speed Trainers,10.5,$800,$630,21.25%
5172922,Balenciaga,Boxy Shoulder Denim Jacket worn by Kanye West,s,$450,-,
8111674,Balenciaga, Triple S Triple Grey / Gray,11,$665,-,
6403287,Balenciaga, Reversible Wool Logo Sweater,m,$900,-,
8216242,Balenciaga,Shearling Leather Heavy Jacket,m,$3750,$1791,52.24%
8465900,Balenciaga,SS18’  Campaign Print Hoodie,xs,$500,-,
6576509,Balenciaga, Denim,32,$500,$350,30.0%
7953499,Balenciaga, Speedhunters overesized logo tee L,l,$399,-,
212981,Balenciaga, wallet,os,$130,-,
7808401,Balenciaga,Sinners Hoodie,m,$780,$567,27.31%
7754171,Balenciaga, Swing Denim Jacket,m,$750,-,
6299569,Balenciaga, Runners,9,$650,$382,41.23%
6676824,Balenciaga, Paris Hoodie (male Version),xl,$460,-,
3872755,Balenciaga,Sinners,m,$420,$410,2.38%
6707688,Balenciaga,Track,11,$1300,$620,52.31%
7281231,Balenciaga,RARE $450 White Embroidered Logo Baseball Hat Cap,os,$285,-,
5574003,Balenciaga,(Final drop)  Arena,9,$290,$189,34.83%
5530522,Balenciaga,AW03 faux-fur bomber jacket,m,$690,-,
8513056,Balenciaga,Paris t-shirt,l,$200,-,
4217263,Balenciaga,Black Denim With Red Stripe,28,$520,-,
4412495,Balenciaga,SQUARE TOE GRAINED CALFSKIN LEATHER BOOTS,12,$1190,-,
6369722,Balenciaga,*final drop* 2017 Bernie Sanders Campaign Denim Blue Jacket,l,$1400,$1134,19.0%
1112093,Balenciaga,Varsity Jacket,s,$500,$450,10.0%
3757221,Balenciaga,Join A Weird Trip sweater,m,$360,$261,27.5%
8242086,Balenciaga,Track Sneakers White Orange,11,$680,-,
6460882,Balenciaga  Colette,Neck Pillow,os,$150,$121,19.33%
3296617,Balenciaga,Triple S Sneaker,8,$2385,$1931,19.04%
3224671,Balenciaga, Long Sleeve Logo,l,$300,$196,34.67%
749317,Balenciaga, arena,11,$420,$340,19.05%
8384782,Balenciaga,Black and White Repeat Logo Beanie Hat,os,$290,-,
4395829,Balenciaga, Painter jogger sweatpants,32,$379,$247,34.83%
8029544,Balenciaga,C Shaped Puffer Jacket,s,$2000,$1620,19.0%
