product_id, brand, desc, size, original_price, new_price, price_change
8602406,Acronym,3A-MZ5 Silver Foil (Pair),os,$300,-,
8530528,Acronym  Nike,Air Presto Mid  Cool Grey,10,$190,$171,10.0%
8504322,Acronym,S16-WS,m,$450,-,
8307303,Acronym  Nike,Vapormax MOC 2,11,$180,-,
8023016,Acronym  Nike, x Nike Air Presto,11,$200,$180,10.0%
8251364,Acronym, X Stephen Platt Shirt,m,$350,-,
7952487,Acronym, x Nike Air Presto Mid Racer Pink/Photo Blue-White-Black,11,$275,-,
7775836,Acronym  Nike,VaporMax Moc 2 "Thirsty Bandit",10,$300,$270,10.0%
7581982,Acronym  Nike,NIKE Air Presto  Dynamic Yellow,10,$275,$247,10.18%
6565177,Acronym  Nike,Air Presto Mid  Racer Pink Size 6 IN HAND READY TO SHIP Nike,6,$350,$275,21.43%
5233089,Acronym  Nike,Vapormax Moc II Orange,13,$400,$380,5.0%
1663680,Acronym  Nike,Air Force Downtown Sp Hi,11.5,$575,$376,34.61%
8528326,Acronym, J62-PB,m,$2000,$1800,10.0%
5381261,Acronym  Nike, Vapormax FK Moc 2 Black DS,8,$350,-,
6155533,Acronym  Nike,Nike Air Vapormax FK  Sail DS,10.5,$345,-,
6663816,Acronym  Nike,Nike Air Presto Mid/ AH7832-100 10 us 44 eu nikelab dynamic yellow,10,$283,-,
8400528,Acronym,KR-H2,os,$500,-,
8100531,Acronym  Nike,Final Drop Nike  Af1 Downtown HI SP Black Olive White,7,$275,$222,19.27%
6123369,Acronym,S16-WS,m,$4000,$1911,52.23%
7997040,Acronym  Nike,Nike x  Air Presto Mid Dynamic Yellow,9,$250,$220,12.0%
5542790,Acronym  Nike,Vapormax Moc 2,9,$600,$393,34.5%
7931928,Acronym  Nike, Vapormax,7,$150,-,
6906872,Acronym  Nike,Volt  Vapormax,12.5,$250,$202,19.2%
7465897,Acronym,NG
